code,name,country,municipality
SKMD,Enrique Olaya Herrera Airport,CO,Medellín
SKMF,Miraflores Airport,CO,Miraflores
SKMG,Baracoa Airport,CO,Magangué
SKML,Montelibano Airport,CO,Montelíbano
SKMP,San Bernardo Airport,CO,Santa Cruz de Mompóx
SKMR,Los Garzones Airport,CO,Montería
SKMU,Fabio Alberto Leon Bentley Airport,CO,Mitú
SKMZ,La Nubia Airport,CO,Manizales
SKNA,La Macarena Airport,CO,La Macarena
SKNC,Necocli Airport,CO,Necocli
SKNQ,Reyes Murillo Airport,CO,Nuquí
SKNV,Benito Salas Airport,CO,Neiva
SKOC,Aguas Claras Airport,CO,Ocaña
SKOE,Orocue Airport,CO,Orocue
SKOT,Otu Airport,CO,Remedios
SKPA,Juan Jose Rondon Airport,CO,Paipa
SKPC,German Olano Airport,CO,Puerto Carreño
SKPD,Obando Cesar Gaviria Trujillo Airport,CO,Puerto Inírida
SKPE,Matecaña International Airport,CO,Pereira
SKPI,Pitalito Airport,CO,Pitalito
SKPL,Plato Airport,CO,Plato
SKPN,Puerto Nare Airport,CO,Armenia
SKPP,Guillermo León Valencia Airport,CO,Popayán
SKPQ,German Olano Air Base,CO,La Dorada
SKPR,Puerto Berrio Airport,CO,Puerto Berrio
SKPS,Antonio Nariño Airport,CO,Chachagüí
SKPV,El Embrujo Airport,CO,Providencia
SKPZ,Paz de Ariporo Airport,CO,Paz de Ariporo
SKQU,Mariquita Airport,CO,Mariquita
SKRA,Tarapacá Airport,CO,Tarapacá
SKRG,Jose Maria Córdova International Airport,CO,Medellín
SKRH,Almirante Padilla Airport,CO,Riohacha
SKRU,Las Cruces Airport,CO,Sabana de Torres
SKSA,Los Colonizadores Airport,CO,Saravena
SKSJ,Jorge E. Gonzalez Torres Airport,CO,San José Del Guaviare
SKSL,Santa Rosalia Airport,CO,Santa Rosalia
SKSM,Simón Bolívar International Airport,CO,Santa Marta
SKSO,Alberto Lleras Camargo Airport,CO,Sogamoso
SKSP,Gustavo Rojas Pinilla International Airport,CO,San Andrés
SKSV,Eduardo Falla Solano Airport,CO,San Vicente Del Caguán
SKTA,Tauramena Airport,CO,Tauramena
SKTB,Tibú Airport,CO,Tibú
SKTD,Trinidad Airport,CO,Trinidad
SKTL,Golfo de Morrosquillo Airport,CO,Santiago de Tolú
SKTM,Gustavo Vargas Airport,CO,Tame
SKTQ,Captain Ernesto Esguerra Cubides Air Base,CO,Tres Esquinas
SKTU,Gonzalo Mejía Airport,CO,Turbo
SKUB,Uribe Airport,CO,La Uribe
SKUC,Santiago Perez Airport,CO,Arauca
SKUI,El Caraño Airport,CO,Quibdó
SKUL,Heriberto Gíl Martínez Airport,CO,Tuluá
SKUR,Urrao Airport,CO,Urrao
SKVG,Villa Garzón Airport,CO,Villa Garzón
SKVL,Velásquez Airport,CO,Puerto Boyacá
SKVP,Alfonso López Pumarejo Airport,CO,Valledupar
SKVV,Vanguardia Airport,CO,Villavicencio
SKYA,Yaguara Airport,CO,San Vicente Del Caguán
SKYP,El Alcaravan - Yopal Airport,CO,Yopal
SLAG,Monteagudo Airport,BO,El Bañado
SLAL,Alcantarí International Airport,BO,Sucre
SLAP,Apolo Airport,BO,Apolo
SLAS,Ascención de Guarayos Airport,BO,Ascensión de Guarayos
SLBJ,Bermejo Airport,BO,Bermejo
SLCA,Camiri Airport,BO,Camiri
SLCB,Jorge Wilsterman International Airport,BO,Cochabamba
SLCC,Copacabana Airport,BO,Copacabana
SLCE,Cabezas Airport,BO,Cordillera
SLCH,Carol Marghata Airport,BO,
SLCO,Capitán Aníbal Arab Airport,BO,Cobija
SLCP,Concepción Airport,BO,Concepción
SLET,El Trompillo Airport,BO,Santa Cruz
SLGY,Capitán de Av. Emilio Beltrán Airport,BO,Guayaramerín
SLHI,Chimore Airport,BO,Chimore
SLHJ,Huacaraje Airport,BO,Itenes
SLJE,San José De Chiquitos Airport,BO,San José de Chiquitos
SLJO,San Joaquín Airport,BO,San Joaquín
SLJV,San Javier Airport,BO,San Javier
SLLP,El Alto International Airport,BO,La Paz / El Alto
SLMG,Magdalena Airport,BO,Magdalena
SLOR,Juan Mendoza International Airport,BO,Oruro
SLPO,Capitan Nicolas Rojas Airport,BO,Potosí
SLPR,Puerto Rico Airport,BO,Puerto Rico/Manuripi
SLPS,Capitán Av. Salvador Ogaya G. airport,BO,Puerto Suárez
